Epoch,Samples,Mean CER,Mean CER (Norm),Mean WER,Mean WER (Norm),Mean BLEU,Mean BLEU (Norm)
302,256,7.07812,0.52024,2.81250,0.70312,0.40236,0.40236
303,256,6.85156,0.50215,2.76562,0.69141,0.39303,0.39303
304,256,6.72266,0.49397,2.71484,0.67871,0.41864,0.41864
305,256,7.08203,0.52053,2.78906,0.69727,0.43706,0.43706
306,256,6.77734,0.49713,2.67578,0.66895,0.40311,0.40311
307,256,6.82031,0.50129,2.67969,0.66992,0.41495,0.41495
308,256,6.93359,0.50933,2.79688,0.69922,0.37313,0.37313
309,256,6.56641,0.48166,2.62500,0.65625,0.43790,0.43790
310,256,6.52734,0.48059,2.69531,0.67383,0.41872,0.41872
311,256,7.02734,0.51651,2.82422,0.70605,0.38259,0.38259
312,256,6.55078,0.48052,2.58984,0.64746,0.40797,0.40797
313,256,6.92969,0.51021,2.85156,0.71289,0.37438,0.37438
314,256,6.66016,0.48952,2.61328,0.65332,0.42540,0.42540
315,256,6.62109,0.48526,2.54688,0.63672,0.44664,0.44664
316,256,6.72266,0.49397,2.73047,0.68262,0.40253,0.40253
317,256,6.94922,0.51135,2.77344,0.69336,0.40776,0.40776
318,256,6.44531,0.47373,2.57422,0.64355,0.42910,0.42910
319,256,6.60938,0.48551,2.48047,0.62012,0.45064,0.45064
320,256,6.05859,0.44441,2.32422,0.58105,0.47123,0.47123
321,256,6.34375,0.46626,2.43750,0.60938,0.44098,0.44098
322,256,6.70703,0.49268,2.54297,0.63574,0.41337,0.41337
